property_id,city,locality,locality_tier,property_type,bhk,bathrooms,balconies,built_up_area,carpet_area,floor_number,total_floors,floor_category,facing,furnishing_status,property_age,parking_spaces,security_score,gym_available,swimming_pool,power_backup,lift_available,maintenance_fee_monthly,distance_to_city_center_km,distance_to_metro_km,nearby_schools,nearby_hospitals,transaction_type,price_in_lakhs,price_category
PROP-000029,Bangalore,Whitefield,Standard,Independent House,3,4,1,1687,1377,39,45,Top (20+),East,Unfurnished,2,0,6.4,0,0,0,1,2255,18.0,1.1,2,1,Resale,150.28,Low
PROP-000030,Bangalore,Koramangala,Premium,Apartment,4,4,1,1824,1558,32,39,Top (20+),South,Unfurnished,0,3,6.8,1,1,1,1,6708,6.1,1.2,5,2,New,300.71,High
PROP-000031,Mumbai,Powai,Standard,Independent House,4,3,0,2100,1742,12,21,High (10-19),North-East,Semi-Furnished,6,3,4.9,0,0,1,1,3859,10.6,0.3,2,2,New,129.46,Low
PROP-000032,Mumbai,Andheri,Standard,Apartment,3,3,1,1284,1096,10,13,High (10-19),West,Unfurnished,17,0,5.5,0,0,0,1,3047,10.3,1.8,6,3,Resale,105.99,Low
PROP-000033,Hyderabad,Banjara Hills,Premium,Apartment,2,2,1,945,799,3,5,Low (1-4),South-East,Fully Furnished,12,0,5.6,0,0,1,1,1886,4.4,0.7,2,2,Resale,147.9,Low
PROP-000034,Delhi,South Delhi,Premium,Row House,5,5,1,2087,1688,3,10,Low (1-4),North-West,Semi-Furnished,23,2,6.9,1,0,1,1,3869,4.6,3.7,3,2,Resale,187.89,Low
PROP-000035,Delhi,South Delhi,Premium,Row House,5,5,3,2184,1911,4,11,Low (1-4),South-West,Fully Furnished,6,2,5.0,0,0,0,1,3267,10.3,3.3,3,2,Resale,342.19,High
PROP-000036,Delhi,Noida Extension,Affordable,Studio,1,1,4,509,440,9,13,Mid (5-9),North,Semi-Furnished,1,1,4.6,0,0,1,1,2297,19.2,5.7,1,2,Resale,10.15,Low
PROP-000037,Delhi,South Delhi,Premium,Apartment,4,5,4,1697,1488,8,15,Mid (5-9),North,Unfurnished,21,4,4.5,1,1,1,1,7108,4.2,2.4,3,6,Resale,154.38,Low
PROP-000038,Delhi,South Delhi,Premium,Apartment,5,4,0,2147,1780,5,12,Mid (5-9),South-West,Semi-Furnished,6,3,5.0,1,1,1,1,5862,6.4,1.0,7,1,Resale,344.09,High
PROP-000039,Hyderabad,Kondapur,Standard,Independent House,5,6,4,2674,2282,2,10,Low (1-4),South-West,Unfurnished,9,1,4.8,0,0,0,1,3045,15.0,2.0,4,2,Resale,258.19,High
PROP-000040,Mumbai,Powai,Standard,Villa,3,3,1,1879,1647,0,9,Ground,East,Semi-Furnished,8,2,7.8,1,1,1,0,7397,10.4,0.5,1,0,New,140.87,Low
PROP-000041,Delhi,Dwarka,Standard,Apartment,3,3,0,1357,1191,4,11,Low (1-4),West,Semi-Furnished,0,2,7.5,0,0,0,1,3005,10.6,6.0,2,1,Resale,117.58,Low
PROP-000042,Mumbai,Andheri,Standard,Villa,3,4,1,1737,1416,0,14,Ground,East,Semi-Furnished,0,2,6.0,0,1,1,0,4781,10.2,1.5,3,1,Resale,156.08,Low
PROP-000043,Delhi,Dwarka,Standard,Apartment,3,4,0,1363,1119,15,16,High (10-19),North-West,Unfurnished,9,5,7.2,1,0,1,1,3490,13.4,1.1,2,1,New,165.19,Low
PROP-000044,Bangalore,Koramangala,Premium,Row House,4,3,1,1783,1478,4,13,Low (1-4),North-West,Fully Furnished,1,2,6.1,0,0,0,1,1137,7.8,0.8,4,2,Resale,272.74,High
PROP-000045,Delhi,Gurgaon DLF,Premium,Apartment,3,3,3,1379,1201,19,24,High (10-19),South,Semi-Furnished,4,1,6.7,0,1,1,1,5191,6.2,1.9,2,2,Resale,195.14,High
PROP-000046,Delhi,Noida Extension,Affordable,Independent House,4,5,0,2069,1806,1,5,Low (1-4),East,Semi-Furnished,12,2,4.1,0,0,1,0,3774,31.2,1.4,4,1,Resale,113.79,Low
PROP-000047,Hyderabad,Jubilee Hills,Premium,Apartment,4,4,3,1695,1434,5,12,Mid (5-9),South,Unfurnished,3,4,6.9,0,1,1,1,6117,5.9,0.7,3,1,Resale,270.0,High
PROP-000048,Mumbai,Thane,Affordable,Villa,5,6,4,2639,2163,3,9,Low (1-4),North,Semi-Furnished,1,2,8.2,1,0,1,1,5096,19.6,1.2,3,1,Resale,105.11,Low
PROP-000049,Bangalore,HSR Layout,Standard,Villa,3,3,3,1861,1496,13,22,High (10-19),North,Semi-Furnished,0,3,5.9,1,0,1,1,4737,15.7,0.1,4,2,New,225.89,High
PROP-000050,Delhi,Gurgaon DLF,Premium,Apartment,5,6,3,2301,2008,1,5,Low (1-4),North,Fully Furnished,3,3,7.3,1,0,1,0,5360,6.7,6.7,4,5,Resale,321.11,High
PROP-000051,Hyderabad,Gachibowli,Standard,Row House,5,5,4,2062,1669,9,17,Mid (5-9),North,Semi-Furnished,4,2,4.5,0,0,1,1,2928,10.7,0.8,2,1,New,178.49,Low
PROP-000052,Delhi,Noida Extension,Affordable,Studio,1,1,0,386,314,5,10,Mid (5-9),East,Semi-Furnished,0,1,6.0,0,0,1,1,500,23.3,0.6,0,1,New,25.48,Low
PROP-000053,Hyderabad,Kondapur,Standard,Row House,4,4,2,1792,1558,7,8,Mid (5-9),North,Unfurnished,4,4,4.7,0,0,0,1,3093,12.6,8.5,2,1,New,165.29,Low
PROP-000054,Bangalore,Indiranagar,Premium,Penthouse,4,5,0,2239,1891,5,10,Mid (5-9),South-East,Fully Furnished,4,2,10.0,1,1,1,1,6276,15.5,0.5,6,2,Resale,394.9,High
PROP-000055,Hyderabad,Kondapur,Standard,Independent House,4,4,2,2234,1834,2,4,Low (1-4),North-West,Semi-Furnished,4,1,4.7,0,0,0,1,2933,20.9,1.5,2,2,Resale,179.27,Low
PROP-000056,Delhi,Gurgaon DLF,Premium,Row House,5,5,2,2324,1870,16,17,High (10-19),North-West,Fully Furnished,5,2,5.2,1,1,1,1,6757,4.3,2.5,4,2,New,365.37,High
PROP-000057,Hyderabad,Banjara Hills,Premium,Apartment,3,4,1,1107,922,5,9,Mid (5-9),North-East,Semi-Furnished,9,0,7.7,1,0,1,1,3529,6.5,6.1,3,3,New,129.58,Low
PROP-000058,Mumbai,Powai,Standard,Apartment,2,2,1,842,729,2,9,Low (1-4),North-East,Unfurnished,26,0,4.3,0,0,1,1,3431,10.7,7.9,7,0,Resale,59.65,Low
PROP-000059,Delhi,South Delhi,Premium,Apartment,3,3,4,1381,1197,39,45,Top (20+),North,Semi-Furnished,0,0,7.7,1,1,1,1,5752,10.2,1.5,3,3,Resale,234.96,High
PROP-000060,Delhi,Dwarka,Standard,Apartment,2,2,2,937,798,9,18,Mid (5-9),North,Semi-Furnished,8,0,3.8,0,0,0,1,2456,10.8,0.5,1,2,New,136.1,Low
PROP-000061,Mumbai,Navi Mumbai,Affordable,Apartment,3,4,2,1268,1101,4,13,Low (1-4),South-West,Unfurnished,4,0,6.1,1,0,1,1,4427,22.8,3.0,1,5,Resale,72.88,Low
PROP-000062,Bangalore,Indiranagar,Premium,Apartment,3,2,2,1537,1332,4,5,Low (1-4),East,Unfurnished,33,1,5.7,1,1,1,1,7299,8.0,0.1,3,5,New,221.39,High
PROP-000063,Bangalore,Electronic City,Standard,Studio,1,2,1,479,403,1,7,Low (1-4),North,Fully Furnished,0,1,4.5,0,1,1,0,4088,12.4,8.2,5,4,New,54.76,Low
PROP-000064,Bangalore,Whitefield,Standard,Apartment,2,2,2,821,702,3,8,Low (1-4),South,Unfurnished,16,2,5.5,1,0,1,1,4379,10.3,0.9,0,2,New,61.65,Low
PROP-000065,Hyderabad,Banjara Hills,Premium,Apartment,2,2,1,897,772,2,5,Low (1-4),South-East,Fully Furnished,2,2,4.8,1,0,1,1,3855,8.4,6.8,3,1,New,152.34,Low
PROP-000066,Mumbai,Andheri,Standard,Villa,5,6,2,2683,2194,18,22,High (10-19),South,Unfurnished,9,0,6.1,1,0,1,1,4302,16.0,0.8,4,2,Resale,174.05,Low
PROP-000067,Bangalore,HSR Layout,Standard,Apartment,4,4,0,1724,1467,5,6,Mid (5-9),West,Fully Furnished,19,2,6.3,0,0,1,1,2680,21.2,0.6,7,1,Resale,127.36,Low
PROP-000068,Bangalore,Electronic City,Standard,Studio,1,1,0,448,376,3,7,Low (1-4),North-East,Fully Furnished,1,2,3.1,0,0,0,1,1809,10.3,1.4,0,0,New,39.68,Low
PROP-000069,Delhi,Noida Sector 62,Standard,Apartment,2,2,2,770,666,31,37,Top (20+),South-West,Semi-Furnished,34,2,3.3,0,0,0,1,1938,15.1,1.0,1,2,New,45.14,Low
PROP-000070,Mumbai,Navi Mumbai,Affordable,Row House,2,2,4,799,673,0,17,Ground,North,Fully Furnished,7,2,6.7,1,0,1,0,3079,22.3,2.7,2,2,Resale,22.34,Low
PROP-000071,Delhi,South Delhi,Premium,Studio,1,2,2,473,399,15,20,High (10-19),West,Fully Furnished,2,0,9.0,1,0,1,1,2999,10.0,1.3,6,1,Resale,80.23,Low
PROP-000072,Delhi,Gurgaon DLF,Premium,Apartment,5,5,2,2364,1905,9,18,Mid (5-9),South-West,Unfurnished,3,2,6.2,1,0,1,1,5227,7.4,1.9,5,3,Resale,367.09,High
PROP-000073,Hyderabad,Gachibowli,Standard,Apartment,3,3,3,1424,1175,9,16,Mid (5-9),North,Fully Furnished,0,3,5.0,0,0,1,1,1902,12.0,0.5,0,3,New,132.49,Low
PROP-000074,Delhi,Gurgaon DLF,Premium,Studio,1,1,1,488,393,5,12,Mid (5-9),North,Unfurnished,8,2,6.3,0,1,1,1,3902,7.1,3.4,3,2,Resale,36.4,Low
PROP-000075,Hyderabad,Gachibowli,Standard,Independent House,3,4,0,1776,1442,6,9,Mid (5-9),North,Unfurnished,0,1,4.6,0,0,0,1,2451,15.3,2.7,0,2,Resale,167.27,Low
PROP-000076,Delhi,Noida Sector 62,Standard,Independent House,4,5,0,2239,1911,38,44,Top (20+),West,Semi-Furnished,3,3,4.8,0,0,0,1,2969,11.8,1.9,2,2,Resale,168.05,Low
PROP-000077,Delhi,Noida Sector 62,Standard,Studio,1,1,0,340,284,6,14,Mid (5-9),East,Unfurnished,8,0,2.8,0,0,0,1,864,10.9,8.2,3,4,Resale,22.76,Low
PROP-000078,Bangalore,Whitefield,Standard,Apartment,4,5,2,1713,1431,7,10,Mid (5-9),North-West,Unfurnished,19,2,6.4,0,0,1,1,3228,12.2,5.6,4,3,Resale,133.8,Low
PROP-000079,Bangalore,Indiranagar,Premium,Apartment,5,6,3,2334,1996,14,21,High (10-19),North-East,Fully Furnished,1,1,7.8,0,0,1,1,3806,6.1,4.2,5,3,New,346.71,High
PROP-000080,Bangalore,Koramangala,Premium,Apartment,2,2,2,867,724,13,14,High (10-19),North-East,Fully Furnished,1,1,8.0,1,0,0,1,3024,4.6,4.4,3,0,Resale,122.62,Low
PROP-000081,Delhi,Noida Sector 62,Standard,Penthouse,4,5,3,2005,1621,14,15,High (10-19),West,Fully Furnished,6,2,6.3,0,1,1,1,5152,14.0,0.9,3,1,New,240.38,High
PROP-000082,Delhi,Dwarka,Standard,Independent House,4,4,4,2021,1634,8,17,Mid (5-9),South-West,Semi-Furnished,18,1,6.3,1,0,0,1,4501,15.7,0.4,5,1,Resale,76.09,Low
PROP-000083,Delhi,Dwarka,Standard,Apartment,2,1,1,920,743,0,19,Ground,West,Fully Furnished,2,0,5.1,0,0,1,0,1675,17.0,2.5,2,1,Resale,80.7,Low
PROP-000084,Delhi,Dwarka,Standard,Apartment,2,2,0,887,745,25,26,Top (20+),North,Unfurnished,23,2,5.1,0,0,0,1,1735,15.5,1.4,1,0,Resale,75.57,Low
PROP-000085,Delhi,Noida Sector 62,Standard,Apartment,4,5,1,1690,1398,10,13,High (10-19),East,Fully Furnished,14,2,3.4,0,0,1,1,3008,12.6,0.2,3,2,Resale,150.87,Low
PROP-000086,Hyderabad,Banjara Hills,Premium,Apartment,3,3,3,1422,1211,20,21,Top (20+),North-West,Semi-Furnished,4,1,8.3,1,0,1,1,4194,5.0,3.1,6,1,Resale,202.35,High
PROP-000087,Delhi,Gurgaon DLF,Premium,Independent House,2,3,1,1192,981,2,10,Low (1-4),North-East,Fully Furnished,3,2,5.4,1,0,1,1,4083,5.3,4.8,8,4,Resale,167.6,Low
PROP-000088,Delhi,South Delhi,Premium,Independent House,4,4,3,2196,1906,39,45,Top (20+),North-East,Semi-Furnished,3,3,7.1,0,0,1,1,2556,14.2,0.9,4,2,Resale,272.21,High
PROP-000089,Bangalore,Electronic City,Standard,Penthouse,4,3,0,2109,1694,35,39,Top (20+),South-West,Fully Furnished,0,5,7.3,0,0,1,1,3421,13.3,1.5,4,2,Resale,146.1,Low
PROP-000090,Delhi,Noida Extension,Affordable,Villa,5,5,2,2594,2136,8,11,Mid (5-9),East,Fully Furnished,12,4,8.1,1,1,1,1,7352,18.1,7.0,6,3,Resale,88.31,Low
PROP-000091,Bangalore,HSR Layout,Standard,Apartment,2,2,2,784,659,0,6,Ground,North,Fully Furnished,3,3,5.2,0,0,1,0,2312,10.1,0.2,1,2,New,76.26,Low
PROP-000092,Delhi,Noida Sector 62,Standard,Independent House,4,3,4,2292,1865,5,8,Mid (5-9),South-West,Semi-Furnished,3,0,5.8,0,0,0,1,3430,10.8,0.6,2,4,Resale,212.92,High
PROP-000093,Bangalore,Whitefield,Standard,Studio,1,1,1,477,404,5,12,Mid (5-9),West,Fully Furnished,3,1,5.4,0,0,0,1,1317,11.1,1.7,0,2,Resale,64.6,Low
PROP-000094,Mumbai,Navi Mumbai,Affordable,Independent House,5,5,1,2626,2256,9,16,Mid (5-9),North,Fully Furnished,13,4,4.4,0,0,1,1,3831,18.2,1.5,4,3,Resale,113.44,Low
PROP-000095,Delhi,Dwarka,Standard,Studio,2,2,0,958,839,2,5,Low (1-4),West,Unfurnished,5,1,3.6,1,0,1,1,3783,14.0,1.4,3,0,New,81.37,Low
PROP-000096,Hyderabad,Banjara Hills,Premium,Villa,4,4,0,2187,1782,0,16,Ground,North-East,Semi-Furnished,9,1,9.5,1,1,1,0,7408,9.9,0.1,2,6,New,369.29,High
PROP-000097,Delhi,Noida Sector 62,Standard,Villa,3,3,0,1702,1386,6,7,Mid (5-9),West,Unfurnished,8,2,7.0,1,1,1,1,6764,21.2,0.1,4,1,Resale,126.4,Low
PROP-000098,Hyderabad,Banjara Hills,Premium,Villa,2,2,0,1292,1093,1,7,Low (1-4),South-West,Fully Furnished,8,2,9.0,1,1,1,0,6783,5.5,2.5,7,0,Resale,172.78,Low
PROP-000099,Hyderabad,Jubilee Hills,Premium,Apartment,3,4,1,1332,1076,0,2,Ground,East,Unfurnished,6,3,6.5,1,1,0,0,5850,12.6,0.1,5,3,New,198.28,High
PROP-000100,Hyderabad,Jubilee Hills,Premium,Apartment,3,4,3,1563,1272,3,4,Low (1-4),North,Fully Furnished,2,1,6.2,1,1,0,1,6393,6.5,1.3,4,2,New,274.69,High
PROP-000101,Hyderabad,Jubilee Hills,Premium,Apartment,3,3,3,1452,1242,13,22,High (10-19),South-West,Semi-Furnished,3,1,4.8,1,0,1,1,4433,4.8,0.1,4,1,Resale,297.06,High
PROP-000102,Bangalore,HSR Layout,Standard,Independent House,4,4,0,2117,1831,16,20,High (10-19),South,Unfurnished,5,2,5.3,0,0,1,1,2940,11.7,1.4,4,3,Resale,160.35,Low
PROP-000103,Hyderabad,Banjara Hills,Premium,Apartment,2,2,3,874,761,13,17,High (10-19),North-West,Fully Furnished,9,1,7.1,0,1,0,1,4598,5.4,5.7,3,3,Resale,165.76,Low
PROP-000104,Bangalore,Koramangala,Premium,Villa,3,3,2,1629,1424,0,9,Ground,South,Unfurnished,5,5,9.7,1,1,1,0,7195,5.4,2.3,6,3,Resale,232.47,High
PROP-000105,Hyderabad,Kondapur,Standard,Row House,5,6,3,2288,1877,3,4,Low (1-4),South-East,Semi-Furnished,13,2,3.0,0,0,1,1,3427,12.0,1.0,2,0,Resale,213.39,High
PROP-000106,Bangalore,Whitefield,Standard,Apartment,2,2,0,1043,896,2,4,Low (1-4),South-West,Fully Furnished,3,0,6.3,0,0,0,1,2181,10.6,3.4,3,2,Resale,87.24,Low
PROP-000107,Hyderabad,Jubilee Hills,Premium,Villa,4,4,2,2250,1964,22,31,Top (20+),North,Unfurnished,13,2,6.7,1,1,1,1,7838,10.8,0.8,3,3,New,384.0,High
PROP-000108,Hyderabad,Banjara Hills,Premium,Studio,1,2,2,300,250,3,10,Low (1-4),North,Semi-Furnished,12,0,5.9,0,0,1,1,2095,4.4,1.3,4,3,New,29.04,Low
PROP-000109,Mumbai,Andheri,Standard,Apartment,2,2,1,781,687,39,40,Top (20+),South-West,Semi-Furnished,1,1,5.9,0,0,0,1,1585,14.4,1.9,0,1,Resale,89.43,Low
PROP-000110,Hyderabad,Gachibowli,Standard,Apartment,1,1,2,463,389,18,27,High (10-19),North-West,Fully Furnished,2,1,7.2,1,0,1,1,2990,12.7,2.7,2,1,Resale,48.81,Low
PROP-000111,Bangalore,Indiranagar,Premium,Apartment,3,2,2,1402,1125,0,17,Ground,North,Unfurnished,2,2,6.3,1,0,1,0,4224,5.0,7.4,4,0,New,220.45,High
PROP-000112,Mumbai,Bandra,Premium,Apartment,2,3,0,833,698,9,11,Mid (5-9),South,Unfurnished,16,0,6.6,1,0,1,1,2851,7.4,1.0,2,1,Resale,76.88,Low
PROP-000113,Bangalore,HSR Layout,Standard,Row House,3,3,2,1432,1197,10,14,High (10-19),East,Semi-Furnished,0,1,7.4,0,0,0,1,3159,10.4,2.7,1,0,New,165.89,Low
PROP-000114,Bangalore,Koramangala,Premium,Studio,1,1,3,449,387,0,14,Ground,South-East,Semi-Furnished,11,0,7.6,0,0,1,0,2688,8.7,1.5,3,1,New,52.78,Low
PROP-000115,Bangalore,Whitefield,Standard,Independent House,5,6,0,2726,2361,6,7,Mid (5-9),South,Semi-Furnished,10,2,3.9,0,0,0,1,3394,11.5,5.2,2,1,New,270.98,High
PROP-000116,Delhi,Noida Extension,Affordable,Penthouse,4,4,1,2096,1789,1,9,Low (1-4),North-West,Unfurnished,10,5,7.6,1,0,1,0,4938,19.6,0.7,1,5,New,116.0,Low
PROP-000117,Hyderabad,Banjara Hills,Premium,Studio,1,1,1,331,265,1,5,Low (1-4),North,Semi-Furnished,4,0,7.5,0,1,1,0,4142,4.1,2.9,6,3,Resale,49.34,Low
PROP-000118,Delhi,Gurgaon DLF,Premium,Apartment,3,3,1,1507,1292,5,7,Mid (5-9),West,Fully Furnished,4,0,6.3,1,0,1,1,3686,6.1,2.9,4,1,Resale,224.85,High
PROP-000119,Mumbai,Navi Mumbai,Affordable,Penthouse,5,4,0,2552,2106,17,19,High (10-19),North-West,Unfurnished,18,4,5.0,0,0,1,1,3685,23.3,1.8,1,4,Resale,99.66,Low
PROP-000120,Delhi,Dwarka,Standard,Villa,4,5,1,2304,1887,11,18,High (10-19),North,Unfurnished,16,3,7.0,1,1,0,1,7674,17.9,1.5,2,1,New,139.61,Low
PROP-000121,Delhi,South Delhi,Premium,Studio,1,2,3,450,395,1,4,Low (1-4),South,Semi-Furnished,1,0,6.4,0,1,1,0,3600,10.0,0.2,5,2,Resale,84.21,Low
PROP-000122,Bangalore,HSR Layout,Standard,Penthouse,4,5,3,2117,1750,2,9,Low (1-4),South-East,Unfurnished,6,0,5.0,0,0,1,1,2962,13.5,3.3,3,4,New,166.86,Low
PROP-000123,Mumbai,Andheri,Standard,Apartment,4,4,2,1730,1441,3,4,Low (1-4),South,Semi-Furnished,1,4,4.8,0,0,1,1,2414,10.1,0.4,3,2,New,188.63,Low
PROP-000124,Hyderabad,Banjara Hills,Premium,Apartment,3,2,1,1374,1141,15,22,High (10-19),North-East,Unfurnished,17,5,7.0,1,0,1,1,4205,6.5,2.8,2,3,New,182.06,Low
PROP-000125,Bangalore,Indiranagar,Premium,Apartment,2,2,1,859,721,6,10,Mid (5-9),North-East,Semi-Furnished,8,2,6.5,1,0,1,1,4027,5.2,0.6,5,0,Resale,102.25,Low
PROP-000126,Bangalore,Koramangala,Premium,Villa,4,4,1,1954,1637,9,13,Mid (5-9),West,Semi-Furnished,0,2,7.4,0,1,1,1,4753,4.4,5.7,2,3,Resale,355.7,High
PROP-000127,Delhi,Noida Sector 62,Standard,Studio,1,2,1,504,406,10,18,High (10-19),South,Unfurnished,11,1,4.0,0,0,1,1,1402,13.8,0.5,3,1,Resale,14.43,Low
PROP-000128,Hyderabad,Banjara Hills,Premium,Penthouse,5,5,2,2451,2023,19,25,High (10-19),East,Fully Furnished,1,4,9.1,1,1,1,1,7353,7.0,5.2,2,3,Resale,513.71,High
PROP-000129,Delhi,Dwarka,Standard,Apartment,3,4,2,1380,1177,1,10,Low (1-4),North-East,Fully Furnished,1,4,4.1,0,0,1,0,2272,11.3,1.1,2,0,Resale,147.97,Low
PROP-000130,Delhi,Noida Extension,Affordable,Villa,3,3,0,1764,1413,23,28,Top (20+),South-East,Semi-Furnished,23,5,6.6,1,0,1,1,3980,18.1,0.1,2,0,Resale,89.1,Low
PROP-000131,Hyderabad,Gachibowli,Standard,Villa,4,4,1,2155,1727,8,9,Mid (5-9),South-East,Semi-Furnished,2,5,5.4,0,0,0,1,3233,14.7,0.3,3,5,Resale,186.75,Low
PROP-000132,Delhi,Dwarka,Standard,Apartment,3,4,1,1388,1209,0,3,Ground,North-East,Unfurnished,0,3,2.6,0,0,0,0,2172,10.6,2.5,2,1,Resale,133.55,Low
PROP-000133,Mumbai,Powai,Standard,Apartment,3,3,0,1416,1207,8,9,Mid (5-9),South,Semi-Furnished,2,0,5.8,0,0,0,1,1938,11.0,1.6,1,0,New,95.26,Low
